block,utxos,addresses
544000,263776,6759
545000,264212,6834
546000,264285,6992
547000,265121,7072
548000,265760,7109
549000,267214,7193
550000,268353,7228
551000,269386,7287
552000,270597,7352
553000,271432,7509
554000,271998,7557
555000,272579,7612
556000,273368,7650
557000,273583,7707
558000,274679,7707
559000,275996,7725
560000,276828,7821
561000,277912,7900
562000,278786,7948
563000,279514,7992
564000,278934,8002
565000,280157,8024
566000,278470,8041
567000,279319,8083
568000,280534,8139
569000,280753,8167
570000,281468,8171
571000,282396,8209
572000,283855,8226
573000,284829,8267
574000,285114,8284
575000,285591,8314
576000,286683,8336
577000,286948,8373
578000,286892,8388
579000,287505,8432
580000,288590,8466
581000,289764,8515
582000,288103,8554
583000,287862,8565
584000,288582,8676
585000,287385,8736
586000,287912,8810
587000,289133,8866
588000,288539,8888
589000,289326,8939
590000,289981,8944
591000,290824,8952
592000,291967,8965
593000,292329,8968
594000,293159,8975
595000,293609,8980
596000,290863,8997
597000,291787,9027
598000,292441,9017
599000,293206,9014
600000,294173,9034
601000,294992,9074
602000,296133,9105
603000,296771,9157
604000,297595,9179
605000,298179,9209
606000,298730,9237
607000,297969,9300
608000,298334,9320
609000,299264,9340
610000,296873,9373
611000,296496,9414
612000,292988,9415
613000,293970,9442
614000,294680,9456
615000,295522,9476
616000,296048,9517
617000,295958,9521
618000,294422,9542
619000,293338,9547
620000,286447,9593
621000,282091,9594
622000,276999,9582
623000,275205,9594
624000,272832,9619
625000,271614,9648
626000,271189,9621
627000,269938,9627
628000,268032,9639
629000,267714,9669
630000,261138,9705
631000,258026,9720
632000,256409,9726
633000,250749,9732
634000,247977,9727
635000,248233,9740
636000,248304,9737
637000,247043,9749
638000,247566,9739
639000,247816,9740
640000,247748,9769
641000,247887,9777
642000,247961,9803
643000,248011,9795
644000,248326,9812
645000,248473,9820
646000,248178,9829
647000,247153,9816
648000,246512,9850
649000,244414,9831
650000,244426,9802
651000,243969,9828
652000,243969,9861
653000,243385,9854
654000,243615,9867
