time,pow_blocks,pos_blocks,fpos_blocks,all_blocks
2017-10-25 00:00:31,739,191,249,1179
2017-10-26 00:05:34,730,212,261,1203
2017-10-27 00:00:58,737,185,263,1185
2017-10-28 00:01:52,712,183,241,1136
2017-10-29 00:01:22,759,191,255,1205
2017-10-30 00:00:55,761,196,236,1193
2017-10-31 00:00:22,736,180,263,1179
2017-11-01 00:03:37,719,186,247,1152
2017-11-02 00:00:46,722,184,251,1157
2017-11-03 00:03:40,704,185,253,1142
2017-11-04 00:01:10,704,196,241,1141
2017-11-05 00:03:16,707,186,238,1131
2017-11-06 00:00:46,728,192,262,1182
2017-11-07 00:00:07,706,194,263,1163
2017-11-08 00:01:02,691,181,273,1145
2017-11-09 00:01:56,704,177,269,1150
2017-11-10 00:01:49,724,187,276,1187
2017-11-11 00:01:06,707,189,254,1150
2017-11-12 00:00:51,728,196,261,1185
2017-11-13 00:00:27,704,177,250,1131
2017-11-14 00:04:00,709,193,271,1173
2017-11-15 00:00:19,693,215,324,1232
2017-11-16 00:01:00,721,181,295,1197
2017-11-17 00:00:51,683,191,243,1117
2017-11-18 00:05:22,706,195,253,1154
2017-11-19 00:04:40,705,185,261,1151
2017-11-20 00:00:34,717,173,263,1153
2017-11-21 00:04:45,713,190,258,1161
2017-11-22 00:00:56,706,189,251,1146
2017-11-23 00:01:42,731,189,253,1173
2017-11-24 00:06:25,712,183,249,1144
2017-11-25 00:00:31,742,188,261,1191
2017-11-26 00:00:40,682,186,265,1133
2017-11-27 00:06:26,717,192,239,1148
2017-11-28 00:00:05,737,185,250,1172
2017-11-29 00:01:23,719,186,248,1153
2017-11-30 00:00:19,733,188,259,1180
2017-12-01 00:00:13,710,189,241,1140
2017-12-02 00:00:22,729,194,246,1169
2017-12-03 00:01:30,727,183,256,1166
2017-12-04 00:02:01,731,193,252,1176
2017-12-05 00:00:22,738,182,252,1172
2017-12-06 00:00:37,747,202,271,1220
2017-12-07 00:01:06,745,169,262,1176
2017-12-08 00:06:48,765,189,249,1203
2017-12-09 00:00:43,734,214,255,1203
2017-12-10 00:02:15,727,196,245,1168
2017-12-11 00:02:32,776,183,250,1209
2017-12-12 00:01:02,789,198,239,1226
2017-12-13 00:00:41,792,180,242,1214
2017-12-14 00:00:44,780,179,254,1213
2017-12-15 00:00:49,764,188,259,1211
2017-12-16 00:00:14,730,185,246,1161
2017-12-17 00:02:10,753,189,247,1189
2017-12-18 00:00:15,783,199,259,1241
2017-12-19 00:02:38,802,216,242,1260
2017-12-20 00:01:43,771,191,240,1202
2017-12-21 00:02:05,766,185,258,1209
2017-12-22 00:00:38,793,186,248,1227
2017-12-23 08:56:31,411,81,108,600
2017-12-24 01:49:29,0,116,76,192
2017-12-25 00:02:48,0,163,192,355
2017-12-26 00:00:47,766,204,240,1210
2017-12-27 00:08:30,694,182,226,1102
2017-12-28 00:03:59,683,184,224,1091
2017-12-29 00:00:06,698,178,232,1108
2017-12-30 00:02:04,683,178,229,1090
2017-12-31 00:01:54,646,184,233,1063
2018-01-01 00:03:54,678,181,238,1097
2018-01-02 00:00:40,673,177,231,1081
2018-01-03 00:01:02,600,177,226,1003
2018-01-04 00:02:44,663,190,210,1063
2018-01-05 00:02:51,665,185,218,1068
2018-01-06 00:02:35,662,185,220,1067
2018-01-07 00:00:30,669,185,221,1075
2018-01-08 00:04:42,672,181,221,1074
2018-01-09 00:05:09,667,182,215,1064
2018-01-10 00:00:45,642,173,234,1049
2018-01-11 00:02:34,672,193,224,1089
2018-01-12 00:02:18,640,177,226,1043
2018-01-13 00:01:52,669,184,220,1073
2018-01-14 00:05:15,665,178,215,1058
2018-01-15 00:00:43,667,188,236,1091
2018-01-16 00:01:46,676,176,223,1075
2018-01-17 00:04:10,651,187,225,1063
2018-01-18 00:01:40,673,188,217,1078
2018-01-19 00:00:09,665,182,223,1070
2018-01-20 00:02:59,659,177,221,1057
2018-01-21 00:06:02,668,183,213,1064
2018-01-22 00:05:52,671,187,216,1074
2018-01-23 00:00:27,653,175,229,1057
2018-01-24 00:00:01,654,188,221,1063
2018-01-25 00:00:15,674,184,224,1082
2018-01-26 00:00:51,656,174,232,1062
2018-01-27 00:02:38,661,185,226,1072
2018-01-28 00:02:49,665,184,228,1077
2018-01-29 00:01:20,671,181,223,1075
2018-01-30 00:00:20,666,185,225,1076
2018-01-31 00:00:13,665,186,220,1071
2018-02-01 00:00:24,678,178,228,1084
2018-02-02 00:03:46,668,185,227,1080
2018-02-03 00:00:22,659,179,209,1047
2018-02-04 00:00:44,657,185,228,1070
2018-02-05 00:01:29,674,178,232,1084
2018-02-06 00:08:05,669,191,207,1067
2018-02-07 00:02:13,671,176,223,1070
2018-02-08 00:01:35,656,188,226,1070
2018-02-09 00:05:34,662,183,221,1066
2018-02-10 00:00:36,669,181,233,1083
2018-02-11 00:00:20,656,185,215,1056
2018-02-12 00:04:24,675,178,220,1073
2018-02-13 00:00:15,660,185,227,1072
2018-02-14 00:02:56,669,187,215,1071
2018-02-15 00:00:44,660,174,223,1057
2018-02-16 00:01:55,692,184,230,1106
2018-02-17 00:01:41,659,186,218,1063
2018-02-18 00:02:16,658,181,209,1048
2018-02-19 00:00:32,669,208,237,1114
2018-02-20 00:15:42,643,182,207,1032
2018-02-21 00:04:17,640,184,227,1051
2018-02-22 00:00:16,657,184,222,1063
2018-02-23 00:00:31,669,174,229,1072
2018-02-24 00:00:23,678,186,227,1091
2018-02-25 00:08:42,653,184,220,1057
2018-02-26 00:06:13,629,184,224,1037
2018-02-27 00:03:17,628,187,227,1042
2018-02-28 00:00:04,653,175,221,1049
2018-03-01 00:00:19,641,183,226,1050
2018-03-02 00:01:15,660,183,223,1066
2018-03-03 00:02:38,642,171,221,1034
2018-03-04 00:01:56,642,188,211,1041
2018-03-05 00:06:18,610,185,224,1019
2018-03-06 00:00:46,613,187,216,1016
2018-03-07 00:00:48,642,178,217,1037
2018-03-08 00:01:13,618,189,227,1034
2018-03-09 00:02:20,641,176,231,1048
2018-03-10 00:05:43,642,180,217,1039
2018-03-11 00:01:35,665,181,224,1070
2018-03-12 00:03:33,664,186,217,1067
2018-03-13 00:03:15,667,175,218,1060
2018-03-14 00:00:19,680,188,216,1084
2018-03-15 00:01:26,682,181,230,1093
2018-03-16 00:03:56,669,180,240,1089
2018-03-17 00:00:05,675,176,218,1069
2018-03-18 00:04:24,675,191,208,1074
2018-03-19 00:02:35,678,182,231,1091
2018-03-20 00:07:39,687,181,222,1090
2018-03-21 00:06:24,671,205,231,1107
2018-03-22 00:04:11,677,205,220,1102
2018-03-23 00:00:17,681,186,216,1083
2018-03-24 00:03:19,680,185,228,1093
2018-03-25 00:00:05,681,178,222,1081
2018-03-26 00:04:42,682,193,221,1096
2018-03-27 00:00:26,681,175,205,1061
2018-03-28 00:00:32,692,187,222,1101
2018-03-29 00:02:28,659,183,236,1078
2018-03-30 00:00:01,668,182,220,1070
2018-03-31 00:00:02,661,184,225,1070
2018-04-01 00:01:48,673,191,213,1077
2018-04-02 00:00:18,678,173,235,1086
2018-04-03 00:02:36,667,183,219,1069
2018-04-04 00:00:59,675,171,236,1082
2018-04-05 00:03:29,676,193,221,1090
2018-04-06 00:01:46,692,182,226,1100
2018-04-07 00:00:33,687,185,227,1099
2018-04-08 00:00:19,695,185,227,1107
2018-04-09 00:01:33,688,177,239,1104
2018-04-10 00:00:00,690,177,221,1088
2018-04-11 00:02:33,677,179,213,1069
2018-04-12 00:03:13,677,184,223,1084
2018-04-13 00:05:41,679,193,215,1087
2018-04-14 00:00:23,683,182,228,1093
2018-04-15 00:01:50,671,185,213,1069
2018-04-16 00:02:22,671,196,218,1085
2018-04-17 00:00:06,678,183,211,1072
2018-04-18 00:01:36,684,187,225,1096
2018-04-19 00:01:18,677,178,225,1080
2018-04-20 00:00:04,684,185,228,1097
2018-04-21 00:08:51,684,186,219,1089
2018-04-22 00:06:43,663,183,213,1059
2018-04-23 00:00:41,672,182,228,1082
2018-04-24 00:01:31,677,177,228,1082
2018-04-25 00:00:26,665,189,218,1072
2018-04-26 00:00:35,673,185,226,1084
2018-04-27 00:06:48,669,187,214,1070
2018-04-28 00:01:41,669,185,217,1071
2018-04-29 00:03:04,658,179,222,1059
2018-04-30 00:02:30,664,182,225,1071
2018-05-01 00:02:36,669,186,215,1070
2018-05-02 00:01:00,680,195,214,1089
2018-05-03 00:04:27,678,185,220,1083
2018-05-04 00:00:52,661,176,209,1046
2018-05-05 00:03:41,668,186,218,1072
2018-05-06 00:00:00,665,179,230,1074
2018-05-07 00:07:32,668,186,221,1075
2018-05-08 00:05:51,673,178,223,1074
2018-05-09 00:00:39,682,184,221,1087
2018-05-10 00:01:33,678,178,219,1075
2018-05-11 00:03:07,675,188,220,1083
2018-05-12 00:00:46,684,186,229,1099
2018-05-13 00:04:42,672,186,213,1071
2018-05-14 00:01:46,687,178,231,1096
2018-05-15 00:02:48,672,182,214,1068
2018-05-16 00:03:16,654,184,231,1069
2018-05-17 00:01:30,661,185,216,1062
2018-05-18 00:00:25,665,186,220,1071
2018-05-19 00:00:10,650,173,241,1064
2018-05-20 00:00:28,646,183,222,1051
2018-05-21 00:01:50,678,187,222,1087
